candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,사회적기업,사회적협동조합,자활용사촌복지공장,생산품목매칭,매칭방식,비고
118,4016150601,여과장치,7511001877,7511001877,비피엔,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
119,4016150601,여과장치,6068120439,6068120439,(주)네가트론,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
120,4016150601,여과장치,6231501484,6231501484,다온상사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
121,4016150601,여과장치,1138196062,1138196062,주식회사 케이에스엔텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
122,4016150601,여과장치,7820901711,7820901711,모아테크,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
123,4016150601,여과장치,2273001106,2273001106,서이트레이드,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
124,4016150601,여과장치,7390302693,7390302693,대한시스텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
125,4016150601,여과장치,2702501178,2702501178,도담,N,N,,,,,원천조회_미매칭,사회적기업 이름 유사 후보 있음; 사업자번호 불일치로 점수 미반영; 사회적협동조합 이름 유사 후보 있음; 사업자번호 부재로 점수 미반영
126,4016150601,여과장치,1608803078,1608803078,유명이엔지주식회사,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
127,4016150601,여과장치,4551701809,4551701809,니즈스토리,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
128,4016150601,여과장치,7117800297,7117800297,한나유통,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
129,4016150601,여과장치,3978101727,3978101727,디에스엔텍 주식회사,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
130,4016150601,여과장치,4601501321,4601501321,토마토,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
131,4016150601,여과장치,2803701009,2803701009,오성,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
132,4016150601,여과장치,8612101471,8612101471,테라물라,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
133,4016150601,여과장치,3294700944,3294700944,우주유통,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
134,4016150601,여과장치,2168148122,2168148122,주식회사 르몽드인터내셔널,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
135,4016150601,여과장치,1371217543,1371217543,청진유통,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
136,4016150601,여과장치,3061864998,3061864998,에스코,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
137,4016150601,여과장치,3883001492,3883001492,유엔글로벌,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
138,4016150601,여과장치,7608100625,7608100625,대신이엔텍 주식회사,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
139,4016150601,여과장치,1218186809,1218186809,(주)씨티원서비스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
140,4016150601,여과장치,5568101156,5568101156,주식회사 우리에이치알컴퍼니,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
141,4016150601,여과장치,6990302508,6990302508,해리엔터프라이즈,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
142,4016150601,여과장치,5073600534,5073600534,엔젤테크,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
143,4016150601,여과장치,6502401417,6502401417,선유통,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
144,4016150601,여과장치,4210602677,4210602677,구름미디어,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
145,4016150601,여과장치,3148612199,3148612199,주식회사 유노미아,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
146,4016150601,여과장치,5918100427,5918100427,주식회사 수연티앤씨,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
147,4016150601,여과장치,6706200447,6706200447,에스엔컴퍼니,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
148,4016150601,여과장치,2081552260,2081552260,제주드림코리아,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
149,4016150601,여과장치,7342101806,7342101806,나노시스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
150,4016150601,여과장치,2010989673,2010989673,사회문화＆세무정보사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
151,4710160802,무기응집제,6768601611,6768601611,주식회사 루트웰,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
152,4710160802,무기응집제,1160724873,1160724873,나산상사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
153,4710160802,무기응집제,1728603252,1728603252,주식회사 리즈너스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
154,4710160802,무기응집제,1178186004,1178186004,주식회사 와풀,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
155,4710160802,무기응집제,5031999741,5031999741,대진통상,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
156,4710160802,무기응집제,2521201281,2521201281,에이디 커머스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
157,4710160802,무기응집제,1488701170,1488701170,주식회사 세진에코텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
158,4710160802,무기응집제,2852501641,2852501641,유니플러스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
159,4710160802,무기응집제,1058649262,1058649262,주식회사 노하우전기통신,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
160,4710160802,무기응집제,2092569555,2092569555,탑에스씨,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
161,4710160802,무기응집제,3091861646,3091861646,모아상사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
162,4710160802,무기응집제,5118127226,5118127226,주식회사 마크온탑,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
163,4710160802,무기응집제,8878102928,8878102928,주식회사 제이디폼,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
164,4710160802,무기응집제,4018140669,4018140669,(유)신성시엔시,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
165,4710160802,무기응집제,1138196062,1138196062,주식회사 케이에스엔텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
166,4710160802,무기응집제,7390302693,7390302693,대한시스텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
167,4710160802,무기응집제,1790200940,1790200940,필 글로벌(PHIL GLOBAL),N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
