candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체
249,4710169801,수처리용여과재,7398102236,7398102236,주식회사 정운씨앤씨,N,N
250,4710169801,수처리용여과재,2258601811,2258601811,주식회사 원나인텍,N,N
251,4015150501,정량펌프,6598802147,6598802147,주식회사 헤이치 인 헤이치(H in H),N,N
252,4015150501,정량펌프,2117400300,2117400300,에닐트 (HENNILT),N,N
253,4015150501,정량펌프,4098615290,4098615290,(주)서린사이언스,N,N
254,4015150501,정량펌프,2852501641,2852501641,유니플러스,N,N
255,4015150501,정량펌프,7527500263,7527500263,헤이치 인 헤이치(hand in hand),N,N
256,4015150501,정량펌프,1288686770,1288686770,주식회사 메디시온,N,N
257,4015150501,정량펌프,4020263826,4020263826,바이오필,N,N
258,4015150501,정량펌프,2632300779,2632300779,천지하이텍,N,Y
259,4015150501,정량펌프,5728702483,5728702483,주식회사 케이제이에스랩,N,N
260,4015150501,정량펌프,5688200569,5688200569,사단법인 벗나래복지회사업단,N,Y
261,4015150501,정량펌프,1798102185,1798102185,주식회사 디오르마,N,N
262,4015150501,정량펌프,1058762466,1058762466,(주)케이에이치그룹한국역사문화원,N,N
263,4015150501,정량펌프,2791401150,2791401150,가우정인,N,N
264,4015150501,정량펌프,8858700815,8858700815,주식회사 지에코,N,N
265,4015150501,정량펌프,8660501030,8660501030,서이과학교육,Y,N
266,4015150501,정량펌프,1401086324,1401086324,유니솔트,N,N
267,4015150501,정량펌프,6868702439,6868702439,주식회사 인팩솔루션,N,N
268,4015150501,정량펌프,1521801697,1521801697,평온상사,N,N
269,4015150501,정량펌프,3038602497,3038602497,주식회사 대림산업기술,N,N
270,4015150501,정량펌프,1348646550,1348646550,주식회사청솔엠테크,N,N
271,4015150501,정량펌프,7262601722,7262601722,창원,N,N
272,4015150501,정량펌프,4556600429,4556600429,승주상사,N,N
273,4015150501,정량펌프,6870801457,6870801457,굿디자인,N,N
274,4015150501,정량펌프,1308182281,1308182281,주식회사 상아엠에스디,N,N
275,4015150501,정량펌프,2988102360,2988102360,주식회사 아이수(i-su Inc.),N,Y
276,4015150501,정량펌프,4892601333,4892601333,원테크,N,N
277,4015150501,정량펌프,4012901334,4012901334,솔미,N,N
278,4015150501,정량펌프,3826700550,3826700550,헤븐산업,N,N
279,4015150501,정량펌프,1131581453,1131581453,동양펌프,N,Y
280,4015150501,정량펌프,6555400458,6555400458,애드톡컴퍼니,N,N
281,4015150501,정량펌프,4848700285,4848700285,주식회사 디케이엔지니어링,N,N
282,4015150501,정량펌프,2184100526,2184100526,씨티원 경기지점,N,N
283,4015150501,정량펌프,6083693694,6083693694,재동상사,N,N
284,4015150501,정량펌프,2854200988,2854200988,효명엔지니어링,N,N
285,4015150501,정량펌프,7928103347,7928103347,주식회사 프리젠,N,N
286,4015150501,정량펌프,4874600729,4874600729,신형,N,N
287,4015150501,정량펌프,4022170444,4022170444,미래홀딩스,N,N
288,4015150501,정량펌프,8544300608,8544300608,아즈위,N,N
289,4015150501,정량펌프,6413200836,6413200836,양현,N,N
290,4015150501,정량펌프,4162052579,4162052579,로젠스,N,N
291,4015150501,정량펌프,6990802444,6990802444,온그린,N,N
292,4015150501,정량펌프,4188116911,4188116911,유한회사 일도엔지니어링,N,Y
293,4015150501,정량펌프,8521602190,8521602190,휴먼,N,N
294,4015150501,정량펌프,8821501991,8821501991,지니어스케이,N,N
295,4015150501,정량펌프,5612601256,5612601256,엠솔루션,N,N
296,4015150501,정량펌프,5541000898,5541000898,유아이네추럴,N,N
297,4015150501,정량펌프,1501800090,1501800090,가빈,N,N
298,4015150501,정량펌프,2130233834,2130233834,한가람커뮤니케이션즈,N,N
299,4015150501,정량펌프,6352100820,6352100820,나린아토,N,N
300,4015150501,정량펌프,8468101781,8468101781,(주)나인티에스,N,Y
301,4010160101,송풍기,3050743164,3050743164,컴텍시스템,N,N
302,4010160101,송풍기,2048197877,2048197877,주식회사 그린주의,N,N
303,4010160101,송풍기,8278602014,8278602014,주식회사 혼정보통신,N,N
304,4010160101,송풍기,1228646713,1228646713,주식회사 새론아이,N,N
305,4010160101,송풍기,7620400047,7620400047,에스지에스,N,N
306,4010160101,송풍기,2117400300,2117400300,에닐트 (HENNILT),N,N
307,4010160101,송풍기,7394000782,7394000782,더원컴퍼니,N,N
308,4010160101,송풍기,7278602368,7278602368,주식회사 숨,N,N
309,4010160101,송풍기,4858601669,4858601669,주식회사 모아텍,N,N
310,4010160101,송풍기,1308685487,1308685487,바이오퍼스글로벌 주식회사,N,N
311,4010160101,송풍기,5295500699,5295500699,비에스에스,N,N
312,4010160101,송풍기,6978702327,6978702327,주식회사 크리스탈소프트,N,N
313,4010160101,송풍기,6122552599,6122552599,안가,N,N
314,4010160101,송풍기,1428800715,1428800715,주식회사 유진랩,N,N
315,4010160101,송풍기,2078802795,2078802795,주식회사 클라우드소프트,N,N
316,4010160101,송풍기,7810302068,7810302068,에이스건설산업,N,N
317,4010160101,송풍기,7481801052,7481801052,제스트,N,N
318,4010160101,송풍기,3328802499,3328802499,주식회사 루트텍,N,N
319,4010160101,송풍기,6870700558,6870700558,에스엠제이,N,N
320,4010160101,송풍기,1288686770,1288686770,주식회사 메디시온,N,N
321,4010160101,송풍기,7958701414,7958701414,주식회사 씨티원 충남,N,N
322,4010160101,송풍기,6671900936,6671900936,제이디아이(JDI),N,N
323,4010160101,송풍기,3091861646,3091861646,모아상사,N,N
324,4010160101,송풍기,7254000347,7254000347,마린아트,N,N
325,4010160101,송풍기,5118127226,5118127226,주식회사 마크온탑,N,N
326,4010160101,송풍기,8878102928,8878102928,주식회사 제이디폼,N,N
327,4010160101,송풍기,2166700331,2166700331,디오세이프티(DO SAFETY),N,N
328,4010160101,송풍기,2273001106,2273001106,서이트레이드,N,N
329,4010160101,송풍기,5323701365,5323701365,케이엘컴퍼니,N,N
330,4010160101,송풍기,2068693703,2068693703,(주)원포인트 듀오,N,N
331,4010160101,송풍기,4721301373,4721301373,어진컴퍼니,N,N
332,4010160101,송풍기,1218641961,1218641961,주식회사 이안코리아,N,N
333,4010160101,송풍기,2803701009,2803701009,오성,N,N
334,4010160101,송풍기,3020561946,3020561946,다옴,N,N
335,4010160101,송풍기,1408161167,1408161167,(주)협성산업,N,N
336,4010160101,송풍기,4088166210,4088166210,주식회사 엔디,N,N
337,4010160101,송풍기,3532200610,3532200610,자한티씨,N,N
338,4010160101,송풍기,2292401057,2292401057,클로버,N,N
339,4010160101,송풍기,3061864998,3061864998,에스코,N,N
340,4010160101,송풍기,8891000019,8891000019,동행상사,N,N
341,4010160101,송풍기,2011525821,2011525821,주앤주,N,N
342,4010160101,송풍기,1218186809,1218186809,(주)씨티원서비스,N,N
343,4010160101,송풍기,5568101156,5568101156,주식회사 우리에이치알컴퍼니,N,N
344,4010160101,송풍기,7807000278,7807000278,번개상사,N,N
345,4010160101,송풍기,5073600534,5073600534,엔젤테크,N,N
346,4010160101,송풍기,6502401417,6502401417,선유통,N,N
347,4010160101,송풍기,3682700131,3682700131,경은상회,N,N
348,4010160101,송풍기,1430175713,1430175713,에스와이컴퍼니,N,N
349,4010160101,송풍기,3271901186,3271901186,엠에이치테크,N,N
350,4010160101,송풍기,7342601117,7342601117,에벤에셀,N,N
351,4111250101,유량계,1228646713,1228646713,주식회사 새론아이,N,N
352,4111250101,유량계,1160724873,1160724873,나산상사,N,N
353,4111250101,유량계,2108159349,2108159349,주식회사 피디원 (PDONE),N,N
354,4111250101,유량계,5295500699,5295500699,비에스에스,N,N
355,4111250101,유량계,2521201281,2521201281,에이디 커머스,N,N
356,4111250101,유량계,3328802499,3328802499,주식회사 루트텍,N,N
357,4111250101,유량계,4193201276,4193201276,태화기업,N,N
358,4111250101,유량계,3091861646,3091861646,모아상사,N,N
359,4111250101,유량계,5118127226,5118127226,주식회사 마크온탑,N,N
360,4111250101,유량계,1312045032,1312045032,툴데포,N,N
361,4111250101,유량계,4721301373,4721301373,어진컴퍼니,N,N
362,4111250101,유량계,4551701809,4551701809,니즈스토리,N,N
363,4111250101,유량계,8612101471,8612101471,테라물라,N,N
364,4111250101,유량계,2138639269,2138639269,주식회사 하이드로넷,N,Y
365,4111250101,유량계,3294700944,3294700944,우주유통,N,N
366,4111250101,유량계,3883001492,3883001492,유엔글로벌,N,N
367,4111250101,유량계,6502401417,6502401417,선유통,N,N
368,4111250101,유량계,1690402168,1690402168,세렌디피티,N,N
369,4111250101,유량계,6418702417,6418702417,주식회사 원스타,N,N
370,4111250101,유량계,2872501915,2872501915,유누 컴퍼니,N,N
371,4111250101,유량계,2791401150,2791401150,가우정인,N,N
372,4111250101,유량계,8350601275,8350601275,옥이커피,N,N
373,4111250101,유량계,5250802328,5250802328,일호컴퍼니,N,N
374,4111250101,유량계,2158662413,2158662413,(주)동건,N,N
375,4111250101,유량계,2638802174,2638802174,제이컴주식회사,N,N
376,4111250101,유량계,1868702400,1868702400,주식회사 그린아이앤티,N,N
377,4111250101,유량계,6044071787,6044071787,에이치엠,N,N
378,4111250101,유량계,6868702439,6868702439,주식회사 인팩솔루션,N,N
379,4111250101,유량계,2060684804,2060684804,인텍시스템,N,N
380,4111250101,유량계,8466000619,8466000619,정욱,N,N
381,4111250101,유량계,7038601174,7038601174,주식회사 제이디글로벌,N,N
