물품별_AI순위,전체_AI순위,candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,AI예측점수,대표물품,제조업체,공급품목등록후_경과일수,공급품목등록후_경과일수_log,업체_등록품목수,업체_동일대분류등록수,업체_동일분류공급품목수,업체_동일중분류등록수,업체_동일소분류등록수,업체_대표물품등록수,업체_제조품목등록수,품목_공급업체수,품목_대표물품업체수,품목_제조업체수,품목_제조업체비율,품목_대표물품비율,품목_평균참가업체수,품목_평균참가업체수_log,품목_경쟁강도,이전전체낙찰건수,이전동일품목낙찰건수,해당물품_과거낙찰건수,이전동일대분류낙찰건수,최근365일낙찰건수,최근낙찰일_경과일수,최근낙찰일_경과일수_log,이전낙찰금액합계_log,참가업체수_log,물품번호_prefix2,물품번호_prefix4,물품번호_prefix6,창업기업,장애인표준사업장,사회적기업,부정당제재,제재종료후_경과일수,제재종료후_경과일수_log
43,397,329,4010160101,송풍기,5323701365,5323701365,케이엘컴퍼니,0.004006,0.0,0.0,1116.0,7.018401799069201,486.0,19.0,6.0,6.0,1.0,1.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,25.0,0.0,0.0,0.0,4.0,148.0,5.003946305945459,21.17086788329727,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
44,399,318,4010160101,송풍기,3328802499,3328802499,주식회사 루트텍,0.003959,0.0,0.0,1114.0,7.016609683894219,504.0,15.0,6.0,6.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,35.0,0.0,0.0,0.0,1.0,345.0,5.846438775057724,21.21858131628369,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
45,404,339,4010160101,송풍기,3061864998,3061864998,에스코,0.003934,0.0,0.0,617.0,6.42648845745769,414.0,21.0,6.0,6.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,18.0,0.0,0.0,0.0,1.0,201.0,5.308267697401205,20.90664891096488,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
46,413,345,4010160101,송풍기,5073600534,5073600534,엔젤테크,0.003817,0.0,0.0,1118.0,7.020190708311925,391.0,18.0,7.0,7.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,17.0,0.0,0.0,0.0,1.0,184.0,5.220355825078325,21.02970667662079,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
47,416,346,4010160101,송풍기,6502401417,6502401417,선유통,0.003772,0.0,0.0,1356.0,7.213031659834869,1955.0,101.0,32.0,32.0,4.0,1.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,17.0,0.0,0.0,0.0,2.0,284.0,5.652489180268651,20.748738594900335,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
48,418,319,4010160101,송풍기,6870700558,6870700558,에스엠제이,0.00373,0.0,0.0,1115.0,7.017506142941256,268.0,14.0,3.0,3.0,2.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,35.0,0.0,0.0,0.0,4.0,166.0,5.117993812416755,20.997428775579056,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
49,421,315,4010160101,송풍기,2078802795,2078802795,주식회사 클라우드소프트,0.003652,0.0,0.0,1114.0,7.016609683894219,711.0,29.0,9.0,9.0,2.0,1.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,41.0,0.0,0.0,0.0,6.0,193.0,5.267858159063328,21.429539536553,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
50,446,341,4010160101,송풍기,2011525821,2011525821,주앤주,0.003225,0.0,0.0,1116.0,7.018401799069201,585.0,19.0,7.0,7.0,2.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,17.0,0.0,0.0,0.0,2.0,318.0,5.765191102784844,21.755792737940002,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
1,162,462,4014169401,제수밸브,6502401417,6502401417,선유통,0.029296,0.0,0.0,268.0,5.594711379601839,1955.0,101.0,39.0,39.0,10.0,1.0,0.0,518.0,2.0,2.0,0.003861003861003861,0.003861003861003861,2.56,1.269760544863939,0.004942084942084942,17.0,0.0,0.0,0.0,2.0,284.0,5.652489180268651,20.748738594900335,0.0,40.0,4014.0,401416.0,0.0,0.0,0.0,0.0,0.0,0.0
2,212,486,4014169401,제수밸브,7180103124,7180103124,제이와이시스템,0.015885,0.0,0.0,268.0,5.594711379601839,2104.0,111.0,44.0,44.0,12.0,1.0,0.0,518.0,2.0,2.0,0.003861003861003861,0.003861003861003861,2.56,1.269760544863939,0.004942084942084942,9.0,0.0,0.0,0.0,2.0,179.0,5.19295685089021,19.658094922988802,0.0,40.0,4014.0,401416.0,0.0,0.0,0.0,0.0,0.0,0.0
